Client code,Client name,Client legal name
CFV,CFVN,CÔNG TY TNHH CARE FOR VIỆT NAM
FST,Five Star,CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN FIVE STAR
ANK,Anker,CÔNG TY TNHH ANKER INNOVATIONS (VIỆT NAM)
ERL,Eras Land,CÔNG TY CỔ PHẦN ĐẦU TƯ BẤT ĐỘNG SẢN ERAS LAND
SMB,SMBC,CÔNG TY TÀI CHÍNH TNHH NGÂN HÀNG VIỆT NAM THỊNH VƯỢNG SMBC
MSB,MSB,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN HÀNG HẢI VIỆT NAM
AQR,Aquarius,CÔNG TY CỔ PHẦN AQUARIUS VIỆT NAM
DTG,DT Group,CÔNG TY TNHH TƯ VẤN & KINH DOANH BẤT ĐỘNG SẢN DT GROUP
MBB,MB Bank,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN QUÂN ĐỘI
TCB,Techcombank,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN KỸ THƯƠNG VIỆT NAM
